data_sprzedazy,region,sprzedawca,produkt,ilosc,cena_jednostkowa,wartosc
2025-01-15,Mazowieckie,Wojcik,Piwo jasne 0.5L,61,"4,29",261.69
2025-01-18,Wielkopolskie ,Wisniewski,Baton czekoladowy 50g,100,2.99,299.0
2025-01-13,Pomorskie,Wisniewski,Woda gazowana 1.5L,36,2.49,89.64
2025-01-03,Dolnoslaskie,Wisniewski,Baton czekoladowy 50g,26,2.99,77.74
2025-01-21,Dolnoslaskie,Nowak,Baton czekoladowy 50g,61,"2,99",182.39
2025-01-23,Malopolska,Lewandowska,Piwo jasne 0.5L,69,4.29,296.01
2025-01-04,Pomorskie,Kowalski,Piwo jasne 0.5L,57,4.29,244.53
2025-01-26,Dolnoslaskie,Wisniewski,Chipsy paprykowe 150g,106,6.99,740.94
2025-01-14,Wielkopolska,,Baton czekoladowy 50g,65,2.99,194.35
2025-01-07,Dolnoslaskie,Wisniewski,Piwo jasne 0.5L,30,4.29,128.7
2025-01-28,Dolnoslaskie,Wojcik,Piwo jasne 0.5L,101,4.29,433.29
2025-01-03,Malopolska,Wojcik,Piwo jasne 0.5L,116,"4,29",497.64
2025-01-23,Mazowieckie,Nowak,Sok pomaranczowy 1L,56,5.49,307.44
2025-01-03,Mazowieckie,Wisniewski,Woda gazowana 1.5L,85,"2,49",211.65
2025-01-04,Wielkopolska,Wisniewski,piwo jasne 0.5l,86,"4,29",368.94
2025-01-05,pomorskie,Kowalski,Chipsy paprykowe 150g,37,6.99,258.63
2025-01-19,Malopolska,Wojcik,piwo jasne 0.5l,84,4.29,360.36
2025-01-11,Dolnoslaskie,Lewandowska,Baton czekoladowy 50g,97,"2,99",290.03
2025-01-18,Malopolska,Wisniewski,Sok pomaranczowy 1L,101,5.49,554.49
2025-01-05,Pomorskie,Nowak,Chipsy paprykowe 150g,110,6.99,768.9
2025-01-14,Wielkopolska,Lewandowska,Woda gazowana 1.5L,96,2.49,306.56
2025-01-27,Malopolska,Kowalski,Chipsy papryk. 150g,118,6.99,824.82
2025-01-13,Mazowieckie,Wisniewski,Piwo jasne 0.5L,39,"4,29",167.31
2025-01-11,Wielkopolska,Wisniewski,Woda gazowana 1.5L,11,2.49,27.39
2025-01-06,Wielkopolska,Wojcik,Piwo jasne 0.5L,40,4.29,171.6
2025-01-02,Malopolska,Wojcik,Piwo  jasne 0.5L,23,,98.67
2025-01-12,Pomorskie,Lewandowska,Baton czekoladowy 50g,118,2.99,352.82
2025-01-26,pomorskie,Wisniewski,piwo jasne 0.5l,25,4.29,107.25
2025-01-24,Mazowieckie,,Sok pomaranczowy 1L,85,5.49,466.65
2025-01-03,Wielkopolska,,Sok pomaranczowy 1L,14,5.49,76.86
2025-01-08,Dolnoslaskie,Wojcik,baton czekoladowy 50g,103,2.99,307.97
2025-01-04,Dolnoslaskie,Wisniewski,Piwo jasne 0.5L,18,4.29,77.22
2025-01-26,Mazowieckie,Nowak,Baton czekoladowy 50g,66,"2,99",197.34
2025-01-06,Mazowieckie,Lewandowska,Sok pomaranczowy 1L,25,5.49,137.25
2025-01-23,Malopolska,Kowalski,Baton czekoladowy 50g,118,2.99,352.82
2025-01-20,Wielkopolska,Nowak,Piwo jasne 0.5L,102,4.29,437.58
2025-01-23,Wielkopolska,Nowak,Piwo jasne 0.5L,89,4.29,381.81
2025-01-22,Malopolska,Lewandowska,Chipsy paprykowe 150g,32,"6,99",295.23
2025-01-13,Dolnoslaskie,Wisniewski,Baton czekoladowy 50g,23,2.99,68.77
2025-01-14,Wielkopolska,,Chipsy paprykowe 150g,9,6.99,62.91
2025-01-03,Malopolska,Wojcik,Piwo jasne 0.5L,116,"4,29",497.64
2025-01-26,Pomorskie,Wojcik,Chipsy paprykowe 150g,27,6.99,188.73
2025-01-12,Malopolska,Wisniewski,Sok pomaranczowy 1L,33,5.49,181.17
2025-01-01,Pomorskie,Kowalski,Sok pomaranczowy 1L,-21,5.49,115.29
2025-01-09,Malopolska,Wisniewski,chipsy paprykowe 150g,36,6.99,251.64
2025-01-07,Dolnoslaskie,Wojcik,Sok pomaranczowy 1L,13,5.49,83.73
2025-01-15,Malopolska,Lewandowska,Woda gazowana 1.5L,66,2.49,164.34
2025-01-17,Pomorskie,Kowalski,Woda gazowana 1.5L,-86,2.49,214.14
2025-01-22,Pomorskie,Lewandowska,Baton czekoladowy 50g,63,2.99,188.37
2025-01-24,Dolnoslaskie,Lewandowska,Chipsy paprykowe 150g,26,6.99,214.31
2025-01-15,Pomorskie,Lewandowska,Piwo jasne 0.5L,108,4.29,463.32
2025-01-21,Malopolska,Kowalski,Chipsy paprykowe 150g,64,6.99,447.36
2025-01-15,Pomorskie,Wojcik,Woda gazowana 1.5L,58,2.49,144.42
2025-01-11,Dolnoslaskie,Wojcik,Sok pomaranczowy 1L,11,,60.39
2025-01-11,Wielkopolska,Nowak,Chipsy paprykowe 150g,43,6.99,300.57
2025-01-27,Pomorskie,Wisniewski,woda gazowana 1.5l,91,2.49,226.59
2025-01-24,Wielkopolska,Wojcik,Baton czekoladowy 50g,107,2.99,319.93
2025-01-03,Mazowieckie,Lewandowska,Chipsy paprykowe  150g,9,6.99,62.91
2025-01-16,Dolnoslaskie,Wojcik,Woda gazowana 1.5L,13,"2,49",37.1
2025-01-26,mazowieckie,Wojcik,Baton czekoladowy 50g,90,2.99,269.1
2025-01-18,Malopolska,Kowalski,piwo jasne 0.5l,22,4.29,123.6
2025-01-05,Malopolska,Nowak,Baton czekoladowy 50g,39,2.99,116.61
2025-01-21,Wielkopolska,Wojcik,Baton czekoladowy 50g,34,2.99,101.66
2025-01-15,Malopolska,Wisniewski,Chipsy paprykowe 150g,33,6.99,285.75
2025-01-11,Dolnoslaskie,Wojcik,Sok pomaranczowy 1L,11,,60.39
2025-01-18,Mazowieckie,Wisniewski,Sok pomaranczowy 1L,35,5.49,192.15
2025-01-03,Dolnoslaskie,Wojcik,Sok pomaranczowy 1L,82,5.49,450.18
2025-01-18,Wielkopolska,Nowak,Woda gazowana 1.5L,89,2.49,262.08
2025-01-20,Pomorskie,Nowak,Sok pomaranczowy 1L,22,"5,49",120.78
2025-01-17,Mazowieckie,  Wojcik ,Woda gazowana 1.5L,101,2.49,251.49
2025-01-04,Malopolska,Lewandowska,Baton czekoladowy 50g,53,2.99,158.47
2025-01-22,Mazowieckie,Wojcik,sok pomaranczowy 1l,85,5.49,466.65
2025-01-22,Pomorskie,,Chipsy paprykowe 150g,92,6.99,643.08
2025-01-04,Mazowieckie,Kowalski,Baton czekoladowy 50g,63,2.99,188.37
2025-01-03,Mazowieckie,  Kowalski ,Woda gazowana 1.5L,65,2.49,161.85
2025-01-14,Malopolska,Nowak,Sok pomaranczowy 1L,84,5.49,461.16
2025-01-28,Dolnoslaskie,Nowak,Sok pomaranczowy 1L,51,5.49,279.99
2025-01-19,MALOPOLSKA,Nowak,Chipsy paprykowe 150g,28,6.99,195.72
2025-01-21,Wielkopolska,Nowak,Chipsy paprykowe 150g,34,"6,99",237.66
2025-01-03,Dolnoslaskie,Wojcik,Sok pomaranczowy 1L,82,5.49,450.18
2025-01-24,Wielkopolska,  Wojcik ,Sok pomaranczowy 1L,116,5.49,636.84
2025-01-23,Malopolska,Wisniewski,Piwo jasne 0.5L,65,4.29,278.85
2025-01-24,Wielkopolska,  Wojcik ,Sok pomaranczowy 1L,116,5.49,636.84
2025-01-06,Malopolska,Wisniewski,Chipsy paprykowe 150g,9,6.99,62.91
2025-01-28,Wielkopolska,Wisniewski,Chipsy paprykowe 150g,90,6.99,629.1
2025-01-02,Malopolska,Lewandowska,Baton czekoladowy 50g,106,2.99,316.94
2025-01-14,Wielkopolska,,Baton czekoladowy 50g,65,2.99,194.35
2025-01-15,Malopolska,Wisniewski,Baton czekoladowy 50g,21,,62.79
2025-01-13,Malopolska,Lewandowska,Piwo jasne 0.5L,65,"4,29",278.85
2025-01-15,Wielkopolska,Wojcik,Baton czekoladowy 50g,42,2.99,150.85
2025-01-05,Wielkopolska,,Piwo  jasne 0.5L,23,4.29,98.67
2025-01-28,Mazowieckie,Nowak,Chipsy paprykowe 150g,47,6.99,328.53
2025-01-03,Dolnoslaskie,Nowak,Chipsy paprykowe 150g,19,"6,99",132.81
2025-01-28,Dolnoslaskie,Nowak,Woda gazowana 1.5L,117,2.49,291.33
