data_sprzedazy,region,sprzedawca,produkt,ilosc,cena_jednostkowa,wartosc
27/03/2025,Malopolska,Nowak,Chipsy paprykowe 150g,26,6.99,181.74
04/03/2025,Dolnoslaskie,Lewandowska,Chipsy paprykowe 150g,22,6.99,153.78
04/03/2025,Dolnoslaskie,,Baton czekoladowy 50g,24,2.99,71.76
14/03/2025,pomorskie,Wojcik,Piwo jasne 0.5L,49,4.29,240.84
22/03/2025,Malopolska,Lewandowska,Woda gazowana 1.5L,71,"2,49",176.79
20/03/2025,Malopolska,Wisniewski,Piwo jasne 0.5L,-112,4.29,480.48
18/03/2025,Pomorskie,Nowak,Chipsy paprykowe 150g,108,6.99,754.92
11/03/2025,Mazowieckie,Kowalski,Piwo jasne 0.5L,6,4.29,25.74
15/03/2025,Pomorskie,Wojcik,Chipsy paprykowe 150g,111,6.99,775.89
14/03/2025,Pomorskie,Nowak,Chipsy paprykowe 150g,89,6.99,622.11
16/03/2025,Dolnoslaskie,Kowalski,Sok pomaranczowy 1L,92,5.49,505.08
17/03/2025,Wlkp,Wojcik,Piwo jasne 0.5L,100,4.29,429.0
24/03/2025,Dolnoslaskie,Wojcik,Baton czekoladowy 50g,10,2.99,29.9
17/03/2025,Pomorskie,Nowak,Chipsy paprykowe 150g,72,6.99,503.28
05/03/2025,Mazowieckie,Wisniewski,Sok pomaranczowy 1L,86,5.49,472.14
11/03/2025,Dolnoslaskie,Wojcik,Chipsy paprykowe 150g,116,6.99,810.84
21/03/2025,pomorskie,Kowalski,Piwo jasne 0.5L,58,"4,29",326.67
21/03/2025,Dolnoslaskie,Wisniewski,Chipsy paprykowe 150g,83,6.99,580.17
25/03/2025,Wielkopolska,Kowalski,Piwo jasne 0.5L,53,4.29,227.37
25/03/2025,Pomorskie,Nowak,Chipsy paprykowe 150g,32,6.99,223.68
01/03/2025,Pomorskie,,Woda gazowana 1.5L,120,2.49,298.8
12/03/2025,Dolnoslaskie,Kowalski,Chipsy paprykowe 150g,79,6.99,552.21
08/03/2025,Malopolska,Nowak,Piwo jasne 0.5L,99,4.29,424.71
09/03/2025,Mazowieckie,Wojcik,Woda gazowana 1.5L,42,2.49,104.58
06/03/2025,Wielkopolska,,Sok pomaranczowy 1L,43,5.49,236.07
28/03/2025,Pomorskie,Kowalski,Woda gazowana 1.5L,76,2.49,189.24
12/03/2025,Mazowieckie,Wojcik,Baton czekoladowy 50g,49,2.99,146.51
04/03/2025,Mazowieckie,Wojcik,Piwo jasne 0.5L,83,4.29,356.07
02/03/2025,Mazowsze,Nowak,Chipsy paprykowe 150g,78,6.99,545.22
22/03/2025,Malopolska,  Wisniewski ,Sok pomaranczowy 1L,55,5.49,301.95
04/03/2025,Wielkopolska,Wojcik,Woda gazowana 1.5L,72,2.49,179.28
21/03/2025,Pomorskie,Nowak,Baton czekoladowy 50g,65,2.99,194.35
14/03/2025,Mazowieckie,Wisniewski,Baton czekoladowy 50g,18,2.99,53.82
12/03/2025,Wielkopolskie ,Wojcik,Piwo jasne 0.5L,-12,4.29,51.48
27/03/2025,Wlkp,Kowalski,Sok pomaranczowy 1L,-88,5.49,483.12
07/03/2025,Mazowieckie,Kowalski,Baton czekoladowy 50g,86,2.99,257.14
23/03/2025,Mazowieckie,Wojcik,Woda gazowana 1.5L,104,"2,49",258.96
24/03/2025,Wielkopolska,Wisniewski,Chipsy paprykowe 150g,118,6.99,824.82
26/03/2025,Malopolska,Wojcik,Chipsy paprykowe 150g,-52,6.99,363.48
25/03/2025,Pomorskie,Lewandowska,Woda gazowana 1.5L,27,2.49,67.23
12/03/2025,Pomorskie,Wisniewski,Sok pomaranczowy 1L,91,5.49,499.59
18/03/2025,Wielkopolska,Kowalski,Chipsy paprykowe  150g,68,6.99,475.32
22/03/2025,Dolnoslaskie,Nowak,Baton czekoladowy 50g,83,"2,99",248.17
11/03/2025,Wielkopolska,Kowalski,Piwo jasne 0.5L,93,4.29,398.97
06/03/2025,Pomorskie,Kowalski,Baton czekoladowy 50g,93,2.99,278.07
02/03/2025,Mazowieckie,Wisniewski,Baton czekoladowy 50g,24,2.99,71.76
09/03/2025,POMORSKIE,  Kowalski ,Woda gazowana 1.5L,19,2.49,47.31
16/03/2025,Wielkopolska,Wojcik,Piwo  jasne 0.5L,67,4.29,287.43
21/03/2025,Dolnoslaskie,  Wojcik ,Sok pomaranczowy 1L,63,"5,49",345.87
07/03/2025,Pomorskie,Wisniewski,Chipsy paprykowe 150g,51,6.99,356.49
11/03/2025,Malopolska,Wisniewski,Piwo jasne 0.5L,6,4.29,25.74
25/03/2025,mazowieckie,Lewandowska,Sok pomaranczowy 1 L,71,5.49,389.79
23/03/2025,malopolskie,Kowalski,Chipsy paprykowe 150g,89,6.99,622.11
25/03/2025,Mazowieckie,  Wojcik ,Piwo jasne 0.5L,79,4.29,338.91
11/03/2025,Wielkopolska,Lewandowska,Woda gazowana 1.5L,89,2.49,221.61
24/03/2025,Malopolska,,Baton czekoladowy 50g,31,"2,99",92.69
28/03/2025,Pomorskie,Kowalski,Woda gazowana 1.5L,76,2.49,189.24
12/03/2025,Malopolska,,Baton czekoladowy 50g,80,2.99,239.2
13/03/2025,Mazowieckie,Lewandowska,Piwo jasne 0.5L,52,4.29,223.08
01/03/2025,Mazowieckie,  Lewandowska ,Baton czekoladowy 50g,12,"2,99",35.88
16/03/2025,Mazowieckie,Nowak,Piwo jasne 0.5L,103,4.29,441.87
09/03/2025,Pomorze,Wisniewski,Woda gazowana 1.5L,55,2.49,136.95
11/03/2025,Wielkopolska,Lewandowska,Baton czekoladowy 50g,43,2.99,128.57
